Original File,Destination File,Bank Type,Status,Processed,Verified
statement_4116465916_2022-04-29.pdf,PNC\2022-04\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-04-29.pdf,PNC,Would process,,
statement_4116465916_2022-04-29.pdf,PNC\2022-04\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-04-29.pdf,PNC,Processed,,
statement_4116465916_2022-05-31.pdf,PNC\2022-05\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-05-31.pdf,PNC,Would process,,
statement_4116465916_2022-05-31.pdf,PNC\2022-05\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-05-31.pdf,PNC,Processed,,
statement_4116465916_2022-06-30.pdf,PNC\2022-06\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-06-30.pdf,PNC,Would process,,
statement_4116465916_2022-06-30.pdf,PNC\2022-06\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-06-30.pdf,PNC,Processed,,
statement_4116465916_2022-07-29.pdf,PNC\2022-07\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-07-29.pdf,PNC,Would process,,
statement_4116465916_2022-07-29.pdf,PNC\2022-07\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-07-29.pdf,PNC,Processed,,
statement_4116465916_2022-08-31.pdf,PNC\2022-08\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-08-31.pdf,PNC,Would process,,
statement_4116465916_2022-08-31.pdf,PNC\2022-08\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-08-31.pdf,PNC,Processed,,
statement_4116465916_2022-09-30.pdf,PNC\2022-09\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-09-30.pdf,PNC,Would process,,
statement_4116465916_2022-09-30.pdf,PNC\2022-09\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-09-30.pdf,PNC,Processed,,
statement_4116465916_2022-10-31.pdf,PNC\2022-10\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-10-31.pdf,PNC,Would process,,
statement_4116465916_2022-10-31.pdf,PNC\2022-10\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-10-31.pdf,PNC,Processed,,
statement_4116465916_2022-11-30.pdf,PNC\2022-11\MICHIGAN INCOME PRINCIPAL PR statement_4116465916_2022-11-30.pdf,PNC,Would process,,
